UHF42,Asthma_0_4,PM,NO2
Kingsbridge - Riverdale,71.2,10.09,20.13
Northeast Bronx,132.1,9.65,20.21
Fordham - Bronx Pk,142.2,10.26,22.06
Pelham - Throgs Neck,133.1,9.68,21.04
Crotona -Tremont,179.7,10.99,25.25
High Bridge - Morrisania,178,11,26.38
Hunts Point - Mott Haven,210.3,10.48,24.1
Greenpoint,32.2,10.57,25.08
Downtown - Heights - Slope,54.8,10.49,26.46
Bedford Stuyvesant - Crown Heights,137.8,9.93,25.17
East New York,116,9.79,22.49
Sunset Park,38,10.21,23.77
Borough Park,12.9,9.61,23.43
East Flatbush - Flatbush,115.5,9.8,23.64
Canarsie - Flatlands,77,9.12,19.1
Bensonhurst - Bay Ridge,16.2,9.18,21.48
Coney Island - Sheepshead Bay,27.4,8.89,19.01
Williamsburg - Bushwick,117.1,10.33,25.31
Washington Heights,70.3,10.71,25.22
Central Harlem - Morningside Heights,135.5,10.62,27.83
East Harlem,179.9,10.41,27.07
Upper West Side,40.4,11.01,28.66
Upper East Side,24.8,11.83,31.02
Chelsea - Clinton,40,13.21,36.03
Gramercy Park - Murray Hill,44.5,14.24,39.17
Greenwich Village - SoHo,,11.56,31.8
Union Square - Lower East Side,57.9,10.87,29.99
Lower Manhattan,24.4,12.19,33.48
Long Island City - Astoria,36.6,10.05,24.32
West Queens,34.5,9.89,24.18
Flushing - Clearview,36.7,9.34,21.48
Bayside - Little Neck,24.9,8.98,19.23
Ridgewood - Forest Hills,55.9,9.52,22.61
Fresh Meadows,43.6,9.25,21.67
Southwest Queens,88.4,9.19,21.7
Jamaica,116.2,9.25,21.22
Southeast Queens,84.9,8.65,19.1
Rockaways,102.3,7.99,14.07
Port Richmond,50.6,9.02,19.79
Stapleton - St. George,48.2,8.64,17.38
Willowbrook,24.6,8.99,16
South Beach - Tottenville,16.3,8.71,13.05
Kingsbridge - Riverdale,56.1,10.65,20.79
Northeast Bronx,128.7,10.48,21.06
Fordham - Bronx Pk,126.9,10.77,22.61
Pelham - Throgs Neck,139.8,10.5,21.61
Crotona -Tremont,163.8,11.45,25.57
High Bridge - Morrisania,157.6,11.44,26.67
Hunts Point - Mott Haven,200.1,11.24,24.58
Greenpoint,26.9,11.51,25.84
Downtown - Heights - Slope,61,11.14,26.64
Bedford Stuyvesant - Crown Heights,135.9,10.29,25.3
East New York,104,10.09,22.9
Sunset Park,38.9,10.84,23.86
Borough Park,18.4,10.07,23.32
East Flatbush - Flatbush,105.3,10.15,23.56
Canarsie - Flatlands,83.7,9.55,19.21
Bensonhurst - Bay Ridge,19.9,9.78,21.62
Coney Island - Sheepshead Bay,17.9,9.44,18.98
Williamsburg - Bushwick,110.9,10.88,25.75
Washington Heights,59.7,11.12,25.56
Central Harlem - Morningside Heights,145.1,11.13,28.23
East Harlem,135.3,11.12,27.65
Upper West Side,28.8,11.49,29.3
Upper East Side,28,12.1,31.52
Chelsea - Clinton,29.9,13.27,36.33
Gramercy Park - Murray Hill,19,13.93,39.18
Greenwich Village - SoHo,,12.04,32.25
Union Square - Lower East Side,53.9,11.44,30.45
Lower Manhattan,26,12.28,33.5
Long Island City - Astoria,33.7,11.02,25.24
West Queens,34,10.6,24.96
Flushing - Clearview,35.1,10.05,21.94
Bayside - Little Neck,17,9.71,19.48
Ridgewood - Forest Hills,60.4,9.95,23.26
Fresh Meadows,37.9,9.74,22.1
Southwest Queens,63.3,9.43,22.21
Jamaica,86,9.57,21.54
Southeast Queens,83.2,9.17,19.29
Rockaways,70.2,8.44,14.27
Port Richmond,65.5,9.73,21.12
Stapleton - St. George,39,9.36,18.29
Willowbrook,16.4,9.63,17.17
South Beach - Tottenville,12.5,9.29,13.5
Kingsbridge - Riverdale,65.2,9.27,19.05
Northeast Bronx,135.9,9.11,20.02
