Row Labels,M_A514,Leaks,Cracks,Broken,Mold
Kingsbridge - Riverdale,33.73333333,27.4,19.5,1.7,8.4
Northeast Bronx,61.8,22.3,18.2,6.3,8.9
Fordham - Bronx Pk,68,31.6,26.1,6.2,18.7
Pelham - Throgs Neck,61.43333333,26,20,6,14.4
Crotona -Tremont,69.6,30.3,29,5.8,11.8
High Bridge - Morrisania,72.96666667,29.3,29.3,9.4,11.8
Hunts Point - Mott Haven,95,30.6,33,8.2,11.8
Greenpoint,11.46666667,23.3,14.1,7.1,16
Downtown - Heights - Slope,30.03333333,27.6,21.4,11.1,7.6
Bedford Stuyvesant - Crown Heights,62.8,25.9,22.1,18.8,9.4
East New York,50.46666667,20.4,22.5,16,10.9
Sunset Park,16.53333333,19.1,19.4,6.9,7.6
Borough Park,5.933333333,21.6,14.6,9.5,10.4
East Flatbush - Flatbush,43.76666667,29.9,24.9,9.1,11.8
Canarsie - Flatlands,30.03333333,18.2,13.7,5.7,8.2
Bensonhurst - Bay Ridge,6.833333333,16.5,11.3,4.1,13
Coney Island - Sheepshead Bay,10.36666667,15.8,10.6,4.8,10
Williamsburg - Bushwick,58.9,27.5,21.4,25,12.2
Washington Heights,30.06666667,38,26.4,6.6,17.2
Central Harlem - Morningside Heights,67.3,31.9,24.1,18,9.1
East Harlem,79.3,35.8,33.2,5.4,7
Upper West Side,16.16666667,21.3,10.9,2.5,6.9
Upper East Side,9.433333333,13.1,10.6,3.1,5.8
Chelsea - Clinton,19.7,17.2,13.5,5.1,3.5
Gramercy Park - Murray Hill,13.65,14.1,8.3,2.7,5.8
Greenwich Village - SoHo,,14.9,11.3,2.6,3.5
Union Square - Lower East Side,19.7,18.8,17.5,2.3,6
Lower Manhattan,,15.4,12,2.5,6
Long Island City - Astoria,19.66666667,16.5,15.6,5.1,6.9
West Queens,14.7,18.7,11.8,3.3,10.8
Flushing - Clearview,13.23333333,8.6,4.6,1.5,5.4
Bayside - Little Neck,9.8,8.1,4.7,0,
Ridgewood - Forest Hills,19.6,16.5,11.3,1.1,7.1
Fresh Meadows,19.13333333,14.3,8.9,1.1,
Southwest Queens,20.9,12.3,7.3,4.1,8.6
Jamaica,27.86666667,18.3,9.6,8.5,11.6
Southeast Queens,33.36666667,13.5,6.7,5.3,8.9
Rockaways,27.13333333,21,7.5,5.2,13.9
Port Richmond,29.33333333,9.4,5.8,10.5,9.5
Stapleton - St. George,19.46666667,8.6,5.8,7.9,9.5
Willowbrook,7.55,7.8,5.7,5.4,3
South Beach - Tottenville,9.333333333,5.2,1.2,1.3,3
