Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value_heart,geo_entity_id,geo_entity_name,year_description,data_value_NO,geo_entity_id,geo_entity_name,year_description,data_value_PM
75590,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2009,12.4,101,Kingsbridge - Riverdale,Annual Average 2009,23.2,101,Kingsbridge - Riverdale,Annual Average 2009,11.03
75591,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2009,10.7,102,Northeast Bronx,Annual Average 2009,22.39,102,Northeast Bronx,Annual Average 2009,10.68
75592,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2009,19.2,103,Fordham - Bronx Pk,Annual Average 2009,24.82,103,Fordham - Bronx Pk,Annual Average 2009,11.1
75593,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2009,19.7,104,Pelham - Throgs Neck,Annual Average 2009,22.83,104,Pelham - Throgs Neck,Annual Average 2009,10.59
75594,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2009,18.2,105,Crotona -Tremont,Annual Average 2009,28.07,105,Crotona -Tremont,Annual Average 2009,11.76
75595,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2009,25.1,106,High Bridge - Morrisania,Annual Average 2009,29.35,106,High Bridge - Morrisania,Annual Average 2009,11.8
75596,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2009,30.9,107,Hunts Point - Mott Haven,Annual Average 2009,26.39,107,Hunts Point - Mott Haven,Annual Average 2009,11.45
75597,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),201,Greenpoint,2009,10.5,201,Greenpoint,Annual Average 2009,26.95,201,Greenpoint,Annual Average 2009,11.93
75598,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2009,14,202,Downtown - Heights - Slope,Annual Average 2009,28.4,202,Downtown - Heights - Slope,Annual Average 2009,11.5
75599,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2009,17.5,203,Bedford Stuyvesant - Crown Heights,Annual Average 2009,26.93,203,Bedford Stuyvesant - Crown Heights,Annual Average 2009,10.75
75600,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),204,East New York,2009,23.1,204,East New York,Annual Average 2009,23.9,204,East New York,Annual Average 2009,10.6
75601,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),205,Sunset Park,2009,16.2,205,Sunset Park,Annual Average 2009,25.26,205,Sunset Park,Annual Average 2009,11.04
75602,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),206,Borough Park,2009,14.3,206,Borough Park,Annual Average 2009,24.79,206,Borough Park,Annual Average 2009,10.27
75603,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2009,13,207,East Flatbush - Flatbush,Annual Average 2009,25.14,207,East Flatbush - Flatbush,Annual Average 2009,10.47
75604,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2009,13.3,208,Canarsie - Flatlands,Annual Average 2009,20.22,208,Canarsie - Flatlands,Annual Average 2009,9.85
75605,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2009,13.2,209,Bensonhurst - Bay Ridge,Annual Average 2009,22.54,209,Bensonhurst - Bay Ridge,Annual Average 2009,9.91
75606,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2009,14.6,210,Coney Island - Sheepshead Bay,Annual Average 2009,19.9,210,Coney Island - Sheepshead Bay,Annual Average 2009,9.55
75607,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2009,27.7,211,Williamsburg - Bushwick,Annual Average 2009,27.13,211,Williamsburg - Bushwick,Annual Average 2009,11.36
75608,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),301,Washington Heights,2009,13.1,301,Washington Heights,Annual Average 2009,28.5,301,Washington Heights,Annual Average 2009,11.55
