Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value_heart,geo_entity_id,geo_entity_name,year_description,data_value_PM,geo_entity_id,geo_entity_name,year_description,data_value_NO
127504,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2010,11.5,101,Kingsbridge - Riverdale,Annual Average 2010,10.09,101,Kingsbridge - Riverdale,Annual Average 2010,20.13
127506,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2010,11.6,102,Northeast Bronx,Annual Average 2010,9.65,102,Northeast Bronx,Annual Average 2010,20.21
127508,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2010,16.6,103,Fordham - Bronx Pk,Annual Average 2010,10.26,103,Fordham - Bronx Pk,Annual Average 2010,22.06
127510,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2010,16.7,104,Pelham - Throgs Neck,Annual Average 2010,9.68,104,Pelham - Throgs Neck,Annual Average 2010,21.04
127512,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2010,17.9,105,Crotona -Tremont,Annual Average 2010,10.99,105,Crotona -Tremont,Annual Average 2010,25.25
127514,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2010,22.7,106,High Bridge - Morrisania,Annual Average 2010,11,106,High Bridge - Morrisania,Annual Average 2010,26.38
127516,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2010,26.4,107,Hunts Point - Mott Haven,Annual Average 2010,10.48,107,Hunts Point - Mott Haven,Annual Average 2010,24.1
127518,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),201,Greenpoint,2010,15.7,201,Greenpoint,Annual Average 2010,10.57,201,Greenpoint,Annual Average 2010,25.08
127520,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2010,10.7,202,Downtown - Heights - Slope,Annual Average 2010,10.49,202,Downtown - Heights - Slope,Annual Average 2010,26.46
127522,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2010,17.9,203,Bedford Stuyvesant - Crown Heights,Annual Average 2010,9.93,203,Bedford Stuyvesant - Crown Heights,Annual Average 2010,25.17
127524,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),204,East New York,2010,23.1,204,East New York,Annual Average 2010,9.79,204,East New York,Annual Average 2010,22.49
127526,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),205,Sunset Park,2010,14,205,Sunset Park,Annual Average 2010,10.21,205,Sunset Park,Annual Average 2010,23.77
127528,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),206,Borough Park,2010,15.8,206,Borough Park,Annual Average 2010,9.61,206,Borough Park,Annual Average 2010,23.43
127530,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2010,12,207,East Flatbush - Flatbush,Annual Average 2010,9.8,207,East Flatbush - Flatbush,Annual Average 2010,23.64
127532,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2010,12.5,208,Canarsie - Flatlands,Annual Average 2010,9.12,208,Canarsie - Flatlands,Annual Average 2010,19.1
127534,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2010,13.7,209,Bensonhurst - Bay Ridge,Annual Average 2010,9.18,209,Bensonhurst - Bay Ridge,Annual Average 2010,21.48
127536,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2010,14.7,210,Coney Island - Sheepshead Bay,Annual Average 2010,8.89,210,Coney Island - Sheepshead Bay,Annual Average 2010,19.01
127538,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2010,24.7,211,Williamsburg - Bushwick,Annual Average 2010,10.33,211,Williamsburg - Bushwick,Annual Average 2010,25.31
